지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
강원,2023,3-3. 아동안전 수준,1837.0,5,0,97.706583,2024,1880.1189680330956,-5.854375380506216,1527807,1230.599786513019,0.01100000000000001,0.893,58.54926671652524,1299.7301411499786,531.9921950854543
강원,2024,3-3. 아동안전 수준,15.0,4,0,100.0,2024,15.0,-99.2021781464344,1517766,9.882946383039284,0.07499999999999996,0.889,62.80560162449132,1230.599786513019,1299.7301411499786
강원,2016,4-1. 일·가정 양립 여건,29.0,6,0,83.786765,2024,34.61167166437325,,1550806,22.318505128541705,,1.237,,,
강원,2017,4-1. 일·가정 양립 여건,113.0,3,0,85.339636,2024,132.4120951254116,282.5648654286382,1550142,85.41933263237279,,1.123,18.862932732901783,22.318505128541705,
강원,2018,4-1. 일·가정 양립 여건,120.0,1,0,86.797969,2024,138.2520828338737,4.410463940571918,1543052,89.59651575829828,0.1140000000000001,1.067,32.77511961722488,85.41933263237279,22.318505128541705
강원,2019,4-1. 일·가정 양립 여건,296.0,8,0,87.068452,2024,339.96240107725816,145.9003829155785,1541502,220.5397080751489,0.05600000000000005,1.082,27.903828503036024,89.59651575829828,85.41933263237279
강원,2020,4-1. 일·가정 양립 여건,273.0,12,0,87.535014,2024,311.87520001996,-8.26185512524228,1542840,202.14357938604132,-0.015000000000000124,1.036,33.15331877049661,220.5397080751489,89.59651575829828
강원,2021,4-1. 일·가정 양립 여건,292.0,4,0,89.802171,2024,325.15917683103675,4.2593886305248185,1538492,211.34928022442543,0.04600000000000004,0.979,50.00614610844014,202.14357938604132,220.5397080751489
강원,2022,4-1. 일·가정 양립 여건,1429.2,8,0,94.590336,2024,1510.936592930593,364.67598044010447,1536498,983.3638526900738,0.05700000000000005,0.968,48.68214740304379,211.34928022442543,202.14357938604132
강원,2023,4-1. 일·가정 양립 여건,179.0,6,0,97.706583,2024,183.2015760903234,-87.87496596829467,1527807,119.9114653161842,0.01100000000000001,0.893,63.02686467919045,983.3638526900738,211.34928022442543
강원,2024,4-1. 일·가정 양립 여건,310.0,8,0,100.0,2024,310.0,69.21251804469273,1517766,204.24755858281185,0.07499999999999996,0.889,72.3133317161858,119.9114653161842,983.3638526900738
강원,2016,4-2. 사회적 가치관,558.0,6,0,83.786765,2024,665.9763030593197,,1550806,429.4388228181472,,1.237,,,
강원,2017,4-2. 사회적 가치관,291.0,8,0,85.339636,2024,340.9904396592458,-48.798412482122025,1550142,219.97367961080067,,1.123,52.59750797948196,429.4388228181472,
